Strain;bams01;bams03;bams05;bams13;bams15;bams21;bams22;bams23;bams24;bams25;bams28;bams30;bams31;bams34;bams44;bams51;bams53;CG3;pXO1;pXO2;vntr12;vntr16;vntr17;vntr19;vntr23;vntr35;vrrA;vrrB1;vrrB2;vrrC1;vrrC2
A141;16;28;6;73;46;10;16;11;11;13;14;57;64;11;8;9;8;2;9;10;6;20;3;4;4;5;3;20;14;53;17
A142;12;24;7;74;46;10;16;11;11;13;14;57;56;9;8;9;8;2;9;9;6;20;4;4;4;4;5;20;14;57;17
A145;16;30;7;73;46;10;16;5;11;13;14;57;39;9;8;6;8;2;NA;9;6;20;3;4;4;4;4;20;14;33;17
A146;16;28;7;73;46;10;16;11;11;13;14;57;64;11;8;9;8;2;9;10;6;20;3;4;4;5;4;20;14;53;17
A147;13;30;7;30;44;10;16;11;10;13;14;75;64;9;12;9;8;1;NA;NA;6;12;NA;5;4;4;4;20;14;57;21
A149;16;28;7;73;46;10;16;11;11;13;14;48;64;11;8;9;8;2;8;10;6;20;3;4;4;5;4;20;14;53;17
A152;16;28;7;73;46;10;16;11;11;13;14;57;64;11;8;9;8;2;9;9;6;20;3;4;4;5;4;20;14;53;17
A155;12;30;7;73;46;10;16;11;11;13;14;57;57;9;8;9;8;2;8;10;6;20;5;4;4;4;4;20;14;57;17
A156;13;30;6;23;47;10;16;11;11;13;14;71;64;9;8;9;8;2;8;8;6;20;4;5;4;4;4;20;14;48;21
A158;13;30;6;23;47;10;16;11;11;13;14;71;64;9;8;9;8;2;8;8;6;20;4;5;4;4;3;20;14;48;21
A159;11;30;6;31;44;10;16;11;11;13;13;75;15;11;6;9;8;2;7;7;6;21;4;5;4;4;5;20;15;57;21
A16;16;28;7;66;45;10;16;11;11;13;14;57;64;11;8;9;8;2;8;9;6;20;4;4;4;5;4;20;14;53;17
A16/LA896;14;27;6;27;42;10;15;10;10;13;14;14;84;9;8;6;6;2;9;6;5;23;3;5;3;5;3;19;14;53;17
A163;7;28;7;76;46;10;16;11;11;13;14;51;50;11;8;9;8;2;9;8;6;NA;4;4;3;5;4;20;14;53;17
A166;13;28;7;30;37;10;16;11;11;13;14;75;65;9;8;9;8;1;8;7;6;20;4;5;4;4;3;20;14;57;21
A167;14;27;6;27;43;10;13;10;11;13;14;16;84;13;8;6;6;2;9;7;5;22;3;5;3;5;3;19;14;53;17
A168;13;30;7;18;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A169;13;30;7;30;44;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
A16R;16;28;7;72;45;10;16;11;11;13;14;57;64;11;8;9;8;2;7;NA;6;NA;NA;4;4;5;4;20;14;53;17
A170;14;27;6;27;43;10;15;10;11;13;14;16;84;9;8;8;6;2;9;8;5;23;3;5;3;6;3;19;14;53;17
A171;13;30;7;30;46;10;16;11;11;13;14;72;64;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
A172;12;30;7;30;46;10;16;11;11;13;14;57;57;9;8;5;8;2;9;10;6;20;5;4;4;4;4;20;14;57;17
A173;14;27;6;27;43;10;15;10;11;13;14;16;84;11;8;6;6;2;9;7;5;24;3;5;3;5;3;19;14;53;17
A174;14;27;7;27;43;10;13;10;11;13;14;16;84;13;8;6;6;2;9;7;5;22;3;5;3;5;3;19;14;53;17
A175b;12;30;6;73;46;10;16;11;9;13;14;57;57;9;8;9;8;2;9;10;6;20;4;4;4;4;4;20;14;57;17
A176;16;28;7;76;46;10;16;11;11;13;14;51;65;11;8;9;8;2;10;8;6;NA;4;4;3;5;2;20;14;53;17
A178;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A179;13;30;6;30;46;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
A180;14;27;6;27;43;10;13;10;11;13;14;16;84;13;8;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
A181;14;27;6;27;43;10;15;10;11;13;14;16;84;13;6;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
A182;13;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A183;14;27;6;27;43;10;15;10;11;13;14;16;84;13;8;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
A186;13;30;7;17;46;10;16;11;12;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
A187;15;27;6;27;43;10;15;10;11;13;14;16;84;13;8;6;6;2;9;7;5;22;3;5;3;5;3;19;14;53;17
A19;10;18;6;33;43;12;15;10;11;13;14;69;64;9;7;6;8;2;NA;NA;6;NA;NA;5;4;4;6;20;14;57;17
A190;16;28;7;66;46;10;16;11;11;13;14;31;59;11;8;9;8;2;9;9;6;20;3;4;4;5;4;20;14;53;17
A191;14;27;6;27;43;10;15;10;11;13;14;16;84;9;8;8;6;2;9;NA;5;12;NA;5;3;6;3;19;14;53;17
A193a;13;30;7;18;24;10;16;11;11;13;14;75;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A193b;14;27;6;27;43;10;15;10;11;13;14;16;84;9;8;8;6;2;NA;NA;5;12;NA;5;3;6;3;19;14;53;17
A199;13;30;5;30;46;10;16;11;11;12;14;75;64;9;8;9;8;2;10;8;6;20;4;5;4;4;4;20;14;57;21
A2;10;18;6;33;43;12;13;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;4;4;3;20;14;57;17
A2012;16;26;5;70;24;7;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
A202;16;28;7;73;46;10;16;11;11;13;14;57;64;11;8;9;8;2;10;10;6;20;3;4;4;5;4;20;14;53;17
A24/TN_Bovine_Sokol;14;27;6;27;41;10;15;10;11;13;14;17;85;9;8;6;6;2;9;6;5;22;3;5;3;5;3;19;14;53;17
A27;13;30;7;28;45;10;16;11;11;13;14;72;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A29;13;27;7;28;24;10;16;11;11;13;14;69;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A3;11;27;6;28;45;12;13;10;11;13;13;6;65;9;8;6;8;2;6;9;5;24;3;5;3;3;3;23;15;53;17
A3783;25;27;7;23;24;10;19;11;11;13;14;68;99;11;8;9;8;2;6;5;5;23;6;5;2;5;5;27;15;29;21
A46;14;27;6;27;42;10;11;10;11;13;14;17;90;9;8;6;6;2;NA;7;5;22;3;5;3;5;3;19;12;53;17
A49;13;30;7;28;45;10;16;11;11;13;14;78;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A87;13;30;7;28;45;10;16;11;11;13;14;60;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
ABr003_Scotland_BHY1;26;24;7;36;44;9;15;12;9;13;14;57;64;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;65;17
AD_2010/11;10;18;6;76;43;10;15;11;11;13;14;71;64;9;2;9;8;2;6;9;6;21;4;5;4;2;6;20;14;57;17
AD_2010/13;10;18;6;33;43;12;15;11;11;13;14;71;65;9;2;9;8;2;6;6;6;21;4;5;4;2;6;20;14;53;17
AD_2010/16;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;2;2;6;20;14;57;17
AD_2010/17;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;3;2;6;20;14;57;17
AF001;16;30;7;73;46;10;16;11;11;13;14;57;59;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;57;17
AF002;16;28;7;76;46;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;12;NA;4;3;5;4;20;14;53;17
AF003;8;30;3;41;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;12;6;20;3;4;4;4;4;20;14;57;17
AF004;8;30;3;45;45;10;16;11;11;13;14;57;64;8;8;9;8;2;10;10;6;20;3;4;4;4;4;20;14;57;17
AF005;16;30;7;73;44;10;13;11;11;13;14;57;64;9;8;9;8;2;8;10;6;20;3;4;3;4;4;16;14;57;17
AF008;10;18;6;33;44;10;15;11;11;13;14;69;64;9;2;9;8;2;7;7;6;21;4;5;4;4;4;20;14;57;17
AF010;8;30;3;45;45;10;16;11;11;13;14;57;64;8;8;9;8;2;10;12;6;20;3;4;4;4;4;20;14;57;17
AF012;8;30;3;45;45;10;16;11;11;13;14;57;64;8;8;9;8;2;10;11;6;20;3;4;4;4;4;20;14;57;17
AF015;8;30;3;45;45;10;16;11;11;13;14;57;64;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF017;16;30;7;73;46;9;16;11;11;13;14;57;59;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;57;17
AF026;8;30;3;42;45;10;16;11;11;13;14;57;64;8;8;9;8;2;10;9;6;20;3;4;4;4;4;16;14;57;17
AF028;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;12;6;20;3;4;4;4;4;20;14;57;17
AF039;11;27;6;28;46;10;13;10;11;13;13;6;64;8;8;6;6;2;7;9;5;24;3;5;3;3;3;23;15;53;17
AF068;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF073;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;9;9;6;20;3;4;4;4;4;20;14;57;17
AF077;16;30;5;70;46;10;16;11;11;13;14;48;59;9;8;9;8;2;10;13;6;20;3;4;5;4;4;20;14;57;17
AF087;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;9;10;6;20;3;4;4;4;4;20;14;57;17
AF096;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;10;6;20;3;4;4;4;4;20;14;57;17
AF1;16;30;7;73;45;10;16;11;11;13;14;57;59;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;57;17
AF10;8;30;3;45;44;10;16;11;11;13;14;57;64;8;8;9;8;2;10;11;6;20;3;4;4;4;4;20;14;57;17
AF103;8;30;3;44;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF108;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;10;6;20;3;4;4;4;4;16;14;57;17
AF11;8;30;3;45;44;10;16;11;11;13;14;57;64;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF119;8;30;3;45;45;10;16;11;11;13;14;54;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF123;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;14;6;20;3;4;4;4;4;20;14;57;17
AF125;8;30;3;45;45;10;15;11;11;13;14;69;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF129;10;18;6;33;44;10;16;11;11;13;14;57;64;9;2;9;8;2;7;7;6;21;4;5;4;4;4;20;14;57;17
AF13;10;18;6;33;43;10;15;11;11;13;14;69;64;9;2;9;8;2;7;7;6;21;4;5;4;4;4;20;14;57;17
AF148;16;30;7;73;44;9;13;11;11;13;14;57;64;9;8;9;8;2;8;10;6;20;3;4;3;4;4;16;14;57;17
AF17;16;30;7;73;45;9;16;11;11;13;14;57;59;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;57;17
AF175;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;11;6;20;3;4;4;4;4;20;14;57;17
AF182;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;49;17
AF2;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
AF21;8;30;3;45;44;10;16;11;11;13;14;57;64;8;8;9;8;2;10;12;6;20;3;4;4;4;4;20;14;57;17
AF254;8;30;3;45;45;10;16;11;11;13;14;60;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF256;13;30;7;30;46;10;14;9;11;13;14;75;59;9;8;9;8;1;10;7;7;20;4;5;4;4;4;20;14;57;21
AF26;8;30;3;42;44;10;16;11;11;13;14;57;64;8;8;9;8;2;10;9;6;20;3;4;4;4;4;16;14;57;17
AF28;8;30;3;45;44;10;16;10;11;13;14;57;56;8;7;9;8;2;11;12;6;20;3;4;4;4;4;20;14;57;17
AF293;8;30;3;43;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;12;6;20;3;4;4;4;4;20;14;57;17
AF3;8;30;3;41;44;10;16;10;11;13;14;57;56;8;7;9;8;2;11;12;6;20;3;4;4;4;4;20;14;57;17
AF30;8;30;3;45;44;10;16;11;11;13;14;57;64;8;8;9;8;2;10;10;6;20;3;4;4;4;4;20;14;57;17
AF309;8;30;3;45;45;10;14;11;11;13;14;60;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF343;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;13;6;20;3;4;4;4;4;20;14;57;17
AF345;8;30;3;45;45;10;16;11;11;13;14;54;56;8;8;9;8;2;8;8;6;20;3;4;4;4;2;20;14;57;17
AF348;16;30;7;73;44;9;13;11;11;13;14;57;63;9;8;9;8;2;8;10;6;20;3;4;3;4;4;16;14;57;17
AF355;8;30;3;38;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF401;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;5;20;14;57;17
AF46;8;30;3;45;44;10;16;11;11;13;14;53;64;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF471;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;12;57;17
AF5;16;30;7;73;43;10;13;10;11;13;14;57;64;9;7;9;8;2;9;10;6;20;3;4;3;4;4;16;14;57;17
AF508;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;13;9;6;20;3;4;4;4;4;20;14;57;17
AF510;13;30;7;30;46;10;14;9;11;13;14;75;63;9;8;9;8;1;9;7;6;20;4;5;4;4;5;20;14;57;21
AF547;8;30;3;45;45;10;16;11;11;13;14;57;41;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF550;8;9;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;12;6;20;3;4;4;4;4;20;14;57;17
